Седмичен бюлетин за цените на горивата — БЪЛГАРИЯ (2023)
Източник: Европейска комисия, ГД 'Енергетика' — Weekly Oil Bulletin
Цени с включени данъци, EUR за 1000 литра

Date;CTR;BG_exchange_rate;BG_price_with_tax_euro95;BG_price_with_tax_diesel 1000 l;BG_price_with_tax_heBGing_oil;BG_price_with_tax_fuel_oil_1;BG_price_with_tax_fuel_oil_2;BG_price_with_tax_LPG
25.12.2023;BG_;1;1319,10 ;1341,60;-;;;623,33
18.12.2023;BG_;1;1337,05;1347,89;n/a;;;625,47
11.12.2023;BG_;1;1358,32;1369,26;;;няма;619,75
04.12.2023;BG_;1;1373,91;1386,13;;;;613,71
20.11.2023;BG_;1;1391,25;1411,19;-;;;602,82
13.11.2023;BG_;1;1401,22;1421,36;n/a;;;597,66
13.11.2023;BG_;1;1401,22;1421,36;n/a;;;597,66
06.11.2023;BG_;1;1412,67;1433,84;;;няма;597,66
30.10.2023;BG_;1;1422,33 ;1445,50;;;;597,45
23.10.2023;BG_;1;1423,20;1444,27;-;;;596,28
16.10.2023;BG_;1;1427,34;1445,55;n/a;;;595,31
09.10.2023;BG_;1;1443,50;1455,11;;;няма;595,41
02.10.2023;BG_;1;1449,79;1449,23;;;;595,51
25.09.2023;BG_;1;1449,84;1450,81;-;;;585,23
18.09.2023;BG_;1;1436,50;1433,79;n/a;;;585,23
11.09.2023;BG_;1;1422,38 ;1412,72;;;няма;585,23
04.09.2023;BG_;1;1412,16;1401,42;;;;576,80
28.08.2023;BG_;1;1400,96;1388,18;-;;;572,91
21.08.2023;BG_;1;1390,94;1378,00;n/a;;;572,91
14.08.2023;BG_;1;1372,58;1354,33;;;няма;536,20
07.08.2023;BG_;1;1357,86;1318,74;;;;536,20
31.07.2023;BG_;1;1328,15;1278,50;-;;;438,08
24.07.2023;BG_;1;1306,22 ;1252,99;n/a;;;438,08
17.07.2023;BG_;1;1295,68;1249,11;;;няма;441,25
10.07.2023;BG_;1;1295,68;1243,99;;;;441,25
03.07.2023;BG_;1;1295,68;1233,82;-;;;446,31
26.06.2023;BG_;1;1295,28;1236,78;n/a;;;446,31
19.06.2023;BG_;1;1294,41;1234,48;;;няма;446,31
12.06.2023;BG_;1;1292,05;1234,18;;;;453,78
05.06.2023;BG_;1;1288,12 ;1233,77;-;;;466,82
29.05.2023;BG_;1;1288,12;1238,83;n/a;;;482,21
22.05.2023;BG_;1;1288,17;1241,64;;;няма;n/a
15.05.2023;BG_;1;1290,21;1246,91;;;;516,00
08.05.2023;BG_;1;1296,35;1274,77;-;;;532,98
01.05.2023;BG_;1;1303,30;1302,79;n/a;;;535,84
24.04.2023;BG_;1;1308,52;1333,62;;;няма;556,45
17.04.2023;BG_;1;1303,97 ;1346,41;;;;568,97
10.04.2023;BG_;1;1294,97;1348,30;-;;;587,18
03.04.2023;BG_;1;1292,57;1361,44;n/a;;;591,98
27.03.2023;BG_;1;1292,17;1382,66;;;няма;593,09
20.03.2023;BG_;1;1296,71;1407,97;;;;594,49
13.03.2023;BG_;1;1299,25;1422,03;-;;;595,19
06.03.2023;BG_;1;1299,48;1421,82;n/a;;;595,18
27.02.2023;BG_;1;1301,67 ;1429,59;;;няма;595,46
20.02.2023;BG_;1;1303,35;1443,30;;;;592,14
13.02.2023;BG_;1;1307,39;1458,84;-;;;588,30
06.02.2023;BG_;1;1307,39;1483,28;n/a;;;579,81
30.01.2023;BG_;1;1306,22;1478,93;;;няма;580,53
23.01.2023;BG_;1;1297,32;1462,93;;;;579,81
16.01.2023;BG_;1;1300,80;1465,13;-;;;580,68
09.01.2023;BG_;1;1317,01 ;1487,06;n/a;;;582,73
02.01.2023;BG_;1;1233,92;1458,89;;;няма;505,01
Средно за 2023;;;1337,71;;;;;
Бел.: данните се публикуват всеки четвъртък.;;;;;;;;
