Седмица;Държава;Бензин А95;Дизел;Газ (LPG)
2024-01-01;BG;1331,94;1342,67;620,21
2024-01-08;BG;1309,34;1325,90;622,81
2024-01-15;BG;1301,72;1321,97;622,81
2024-01-22;BG;1302,38;1321,97;622,46
2024-01-29;BG;1305,55;1329,94;622,81
2024-02-05;BG;1317,47;1342,78;628,49
2024-02-12;BG;1323,29;1352,18;628,49
2024-02-19;BG;1331,12;1373,91;630,18
2024-02-26;BG;1337,77;1383,78;631,35
2024-03-04;BG;1337,77;1379,85;630,84
2024-03-11;BG;1336,60;1377,54;630,23
2024-03-18;BG;1336,74;1374,89;626,70
2024-03-25;BG;1331,12;1373,91;630,18
2024-04-01;BG;1345,33;1378,00;619,29
2024-04-08;BG;1345,33;1378,00;619,29
2024-04-15;BG;1358,42;1386,03;619,29
2024-04-22;BG;1368,19;1385,16;619,29
2024-04-29;BG;1374,63;1375,96;615,76
2024-05-06;BG;1374,63;1370,79;615,76
2024-05-13;BG;1369,41;1356,22;615,76
2024-05-20;BG;1355,76;1356,22;611,67
2024-05-27;BG;1347,68;1327,03;607,07
2024-06-03;BG;1342,67;1316,60;591,57
2024-06-10;BG;1332,45;1306,37;581,35
2024-06-17;BG;1337,20;1313,99;575,16
2024-06-24;BG;1332,45;1306,37;581,35
2024-07-01;BG;1332,45;1306,37;581,35
2024-07-08;BG;1332,45;1306,37;581,35
2024-07-15;BG;1332,45;1306,37;581,35
2024-07-22;BG;1332,45;1306,37;581,35
2024-07-29;BG;13324,47;1306,37;581,35
2024-08-05;BG;1331,37;1318,03;581,35
2024-08-12;BG;1321,97;1306,78;591,06
2024-08-19;BG;1317,16;1298,60;591,37
2024-08-26;BG;1307,65;1286,79;591,52
2024-09-02;BG;1298,04;1277,02;591,27
2024-09-09;BG;1288,07;1270,27;591,27
2024-09-16;BG;1267,56;1246,86;590,40
2024-09-23;BG;1254,32;1233,36;590,09
2024-09-30;BG;1249,36;1225,38;589,78
2024-10-07;BG;1249,36;;589,78
2024-10-14;BG;1248,13;1228,96;596,12
2024-10-21;BG;1250,84;1232,44;605,63
2024-10-28;BG;1253,25;1232,64;612,59
2024-11-04;BG;1254,06;1232,90;615,81
2024-11-11;BG;1255,80;1241,18;619,95
2024-11-18;BG;1258,56;1249,41;622,92
2024-11-25;BG;1258,56;1249,41;622,92
2024-12-02;BG;1265,98;1264,44;629,92
2024-12-09;BG;1267,72;1267,87;637,80
2024-12-16;BG;1268,84;1268,43;640,45
2024-12-23;BG;1268,84;1268,43;640,45
2024-12-30;BG;1281,06;1294,10;642,04
